Group,Colony,Trial,PreviousVideoTimes,video_name,video_num,video_time,abs_time,behaviour,origin,destination,nest,successful,focal,partner,notes
Choice,n.amb42,5,,166,,,113.241,start,,,NA,,,,
Choice,n.amb42,5,,166,,,545.524,discovery,,dark,dark,,gyo,,
Choice,n.amb42,5,,166,,,1126.991,tandem_run,,dark,dark,failed,owg,ooo,
Choice,n.amb42,5,,166,,,1171.958,tandem_run,,dark,dark,success,owg,bbg,
Choice,n.amb42,5,,166,,,1219.596,tandem_run,,dark,dark,failed,owg,wbw,
Choice,n.amb42,5,,166,,,1489.365,discovery,,dim,dim,,owg,,
Choice,n.amb42,5,,166,,,1758.653,transport,,dark,dark,,gyo,yob,
Choice,n.amb42,5,,166,,,1784.162,reverse_tandem_run,dark,,dark,failed,gyo,bbg,
Choice,n.amb42,5,,166,,,1826.692,transport,,dark,dark,,obb,g,
Choice,n.amb42,5,,166,,,1852.205,reverse_tandem_run,dark,,dark,success,gyo,ooo,
Choice,n.amb42,5,,166,,,1855.717,reverse_tandem_run,dark,,dark,success,gyo,gby,
Choice,n.amb42,5,,166,,,2099.19,transport,,dark,dark,,gwb,bog,
Choice,n.amb42,5,,166,,,2428.778,transport,,dark,dark,,owg,new_worker,
Choice,n.amb42,5,,166,,,2522.229,transport,,dark,dark,,bbg,bgy,
Choice,n.amb42,5,,166,,,2549.655,transport,,dark,dark,,yob,wog,
Choice,n.amb42,5,,166,,,2569.703,transport,,dark,dark,,gwb,yoy,
Choice,n.amb42,5,,166,,,2608.667,transport,,dark,dark,,wyb,ogw,
Choice,n.amb42,5,,166,,,2670.948,transport,,dark,dark,,obb,ybo,
Choice,n.amb42,5,,166,,,2680.588,transport,,dark,dark,,wwy,oyy,
Choice,n.amb42,5,,166,,,2707.813,transport,,dark,dark,,gyo,gow,
Choice,n.amb42,5,,166,,,2771.344,transport,,dark,dark,,wyb,ygy,
Choice,n.amb42,5,,166,,,2792.612,transport,,dark,dark,,gby,ggg,
Choice,n.amb42,5,,166,,,3095.011,transport,,dark,dark,,gyo,owg,
Choice,n.amb42,5,,166,,,3183.971,transport,dim,dark,dark,,ooo,yyg,
Choice,n.amb42,5,,166,,,3686.46,transport,,dark,dark,,ybo,yww,
