colony,treatment,emigration,ID,age,colour
41,choice,1,bgo,dead,none
41,choice,1,gow,old,yellow
41,choice,1,gwb,old,blue
41,choice,1,gyb,old,blue
41,choice,1,oby,old,blue
41,choice,1,oob,old,blue
41,choice,1,owo,old,none
41,choice,1,oyw,old,none
41,choice,1,wbw,old,blue
41,choice,1,wgb,old,blue
41,choice,1,wog,old,green
41,choice,1,wwy,old,none
41,choice,1,wyo,old,blue
41,choice,1,ygw,old,none
41,choice,1,yoy,old,blue
41,choice,1,ywg,old,blue
41,choice,1,yyb,old,none
41,choice,1,o,old,yellow
41,choice,1,y,old,blue
41,choice,1,bgy ,dead,none
41,choice,1,bbb,new,none
41,choice,1,bgy,new,none
41,choice,1,bow,new,none
41,choice,1,bwo,new,none
41,choice,1,bww,new,none
41,choice,1,byb,new,none
41,choice,1,ggw,new,none
41,choice,1,goo,new,none
41,choice,1,gpw,new,none
41,choice,1,opo,new,none
41,choice,1,pwp,new,none
41,choice,2,bgo,dead,none
41,choice,2,gow,old,blue
41,choice,2,gwb,old,blue
41,choice,2,gyb,old,none
41,choice,2,oby,old,none
41,choice,2,oob,old,blue
41,choice,2,owo,old,none
41,choice,2,oyw,old,blue
41,choice,2,wbw,old,blue
41,choice,2,wgb,old,blue
41,choice,2,wog,old,blue
41,choice,2,wwy,old,none
41,choice,2,wyo,old,blue
41,choice,2,ygw,old,none
41,choice,2,yoy,old,blue
41,choice,2,ywg,old,none
41,choice,2,yyb,old,blue
41,choice,2,o,old,blue
41,choice,2,y,old,blue
41,choice,2,bgy ,dead,none
41,choice,2,bbb,new,none
41,choice,2,bgy,new,none
41,choice,2,bow,new,none
41,choice,2,bwo,new,blue
41,choice,2,bww,new,none
41,choice,2,byb,new,none
41,choice,2,ggw,new,none
41,choice,2,goo,new,none
41,choice,2,gpw,new,none
41,choice,2,opo,new,none
41,choice,2,pwp,new,none
41,choice,3,bgo,dead,none
41,choice,3,gow,old,none
41,choice,3,gwb,old,yellow
41,choice,3,gyb,old,none
41,choice,3,oby,old,blue
41,choice,3,oob,old,green
41,choice,3,owo,old,none
41,choice,3,oyw,old,blue
41,choice,3,wbw,old,none
41,choice,3,wgb,old,yellow
41,choice,3,wog,old,blue
41,choice,3,wwy,old,none
41,choice,3,wyo,old,blue
41,choice,3,ygw,old,blue
41,choice,3,yoy,old,blue
41,choice,3,ywg,old,none
41,choice,3,yyb,old,blue
41,choice,3,o,old,blue
41,choice,3,y,old,none
41,choice,3,bgy ,dead,none
41,choice,3,bbb,new,none
41,choice,3,bgy,new,none
41,choice,3,bow,new,none
41,choice,3,bwo,new,blue
41,choice,3,bww,new,none
41,choice,3,byb,new,blue
41,choice,3,ggw,new,blue
41,choice,3,goo,new,blue
41,choice,3,gpw,new,none
41,choice,3,opo,new,none
41,choice,3,pwp,new,none
42,choice,1,bbg,old,yellow
42,choice,1,gby,old,green
42,choice,1,ggg,old,green
42,choice,1,gow,old,green
42,choice,1,gwb,old,blue
42,choice,1,gyo,old,green
42,choice,1,obb,old,blue
42,choice,1,ogw,old,blue
42,choice,1,ooo,old,blue
42,choice,1,owg,old,blue
42,choice,1,oyy,old,green
42,choice,1,wbw,old,blue
42,choice,1,wgo,old,yellow
42,choice,1,wog,old,none
42,choice,1,wwy,old,blue
42,choice,1,wyb,old,blue
42,choice,1,ybo,old,blue
42,choice,1,ygy,old,blue
42,choice,1,yob,old,green
42,choice,1,yww,old,green
42,choice,1,yyg,old,green
42,choice,1,g,old,blue
